policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 254: Reward 199
Episode 255: Reward 34
Episode 256: Reward 151
Episode 257: Reward 51
Episode 258: Reward 110
Episode 259: Reward 191
Episode 260: Reward 20
Episode 261: Reward 61
Episode 262: Reward 79
Episode 263: Reward 99
Episode 264: Reward 42
Episode 265: Reward 143
Episode 266: Reward 82
Episode 267: Reward 114
Episode 268: Reward 161
Episode 269: Reward 46
Episode 270: Reward 129
Episode 271: Reward 150
Episode 272: Reward 24
Episode 273: Reward 122
Episode 274: Reward 100
Episode 275: Reward 172
Episode 276: Reward 157
Episode 277: Reward 200
Episode 278: Reward 117
Episode 279: Reward 126
Episode 280: Reward 46
Episode 281: Reward 166
Episode 282: Reward 163
Episode 283: Reward 129
Episode 284: Reward 200
Episode 285: Reward 112
Episode 286: Reward 113
Episode 287: Reward 103
Episode 288: Reward 189
Episode 289: Reward 158
Episode 290: Reward 116
Episode 291: Reward 180
Episode 292: Reward 152
Episode 293: Reward 119
Episode 294: Reward 145
Episode 295: Reward 156
Episode 296: Reward 39
Episode 297: Reward 125
Episode 298: Reward 166
Episode 299: Reward 183
Episode 300: Reward 200
Episode 301: Reward 200
Episode 302: Reward 112
Episode 303: Reward 200
Episode 304: Reward 91
Episode 305: Reward 74
Episode 306: Reward 149
Episode 307: Reward 154
Episode 308: Reward 168
Episode 309: Reward 200
Episode 310: Reward 151
Episode 311: Reward 56
Episode 312: Reward 171
Episode 313: Reward 200
Episode 314: Reward 61
Episode 315: Reward 200
Episode 316: Reward 122
Episode 317: Reward 200
Episode 318: Reward 177
Episode 319: Reward 160
Episode 320: Reward 200
Episode 321: Reward 200
Episode 322: Reward 200
Episode 323: Reward 173
Episode 324: Reward 126
Episode 325: Reward 158
Episode 326: Reward 17
Episode 327: Reward 200
Episode 328: Reward 200
Episode 329: Reward 200
Episode 330: Reward 200
Episode 331: Reward 112
Episode 332: Reward 200
Episode 333: Reward 200
Episode 334: Reward 200
Episode 335: Reward 200
Episode 336: Reward 146
Episode 337: Reward 115
