policy_gradient_wx.py:53: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at ../torch/csrc/utils/tensor_new.cpp:278.)
  state = torch.tensor([state], dtype=torch.float).to(self.device)
Episode 254: Reward 81
Episode 255: Reward 90
Episode 256: Reward 32
Episode 257: Reward 68
Episode 258: Reward 84
Episode 259: Reward 34
Episode 260: Reward 107
Episode 261: Reward 61
Episode 262: Reward 103
Episode 263: Reward 109
Episode 264: Reward 44
Episode 265: Reward 44
Episode 266: Reward 73
Episode 267: Reward 57
Episode 268: Reward 75
Episode 269: Reward 46
Episode 270: Reward 111
Episode 271: Reward 163
Episode 272: Reward 113
Episode 273: Reward 112
Episode 274: Reward 50
Episode 275: Reward 90
Episode 276: Reward 47
Episode 277: Reward 65
Episode 278: Reward 171
Episode 279: Reward 108
Episode 280: Reward 172
Episode 281: Reward 129
Episode 282: Reward 150
Episode 283: Reward 200
Episode 284: Reward 151
Episode 285: Reward 127
Episode 286: Reward 157
Episode 287: Reward 200
Episode 288: Reward 64
Episode 289: Reward 132
Episode 290: Reward 152
Episode 291: Reward 95
Episode 292: Reward 103
Episode 293: Reward 44
Episode 294: Reward 187
Episode 295: Reward 200
Episode 296: Reward 165
Episode 297: Reward 200
Episode 298: Reward 79
Episode 299: Reward 47
Episode 300: Reward 164
Episode 301: Reward 55
Episode 302: Reward 200
Episode 303: Reward 136
Episode 304: Reward 170
Episode 305: Reward 134
Episode 306: Reward 155
Episode 307: Reward 132
Episode 308: Reward 168
Episode 309: Reward 194
Episode 310: Reward 149
Episode 311: Reward 159
Episode 312: Reward 148
Episode 313: Reward 200
Episode 314: Reward 109
Episode 315: Reward 108
Episode 316: Reward 110
Episode 317: Reward 144
Episode 318: Reward 97
Episode 319: Reward 103
Episode 320: Reward 95
Episode 321: Reward 100
Episode 322: Reward 200
Episode 323: Reward 171
Episode 324: Reward 167
Episode 325: Reward 80
Episode 326: Reward 107
Episode 327: Reward 168
Episode 328: Reward 97
Episode 329: Reward 94
Episode 330: Reward 200
Episode 331: Reward 126
Episode 332: Reward 129
Episode 333: Reward 200
Episode 334: Reward 92
Episode 335: Reward 119
Episode 336: Reward 100
Episode 337: Reward 130
Episode 338: Reward 134
Episode 339: Reward 58
Episode 340: Reward 200
Episode 341: Reward 113
Episode 342: Reward 172
Episode 343: Reward 156
Episode 344: Reward 164
Episode 345: Reward 138
Episode 346: Reward 73
Episode 347: Reward 168
Episode 348: Reward 198
Episode 349: Reward 99
Episode 350: Reward 184
Episode 351: Reward 162
Episode 352: Reward 43
Episode 353: Reward 140
Episode 354: Reward 176
Episode 355: Reward 185
Episode 356: Reward 128
Episode 357: Reward 40
Episode 358: Reward 153
Episode 359: Reward 120
Episode 360: Reward 85
Episode 361: Reward 181
Episode 362: Reward 64
Episode 363: Reward 138
Episode 364: Reward 117
Episode 365: Reward 200
Episode 366: Reward 175
Episode 367: Reward 173
Episode 368: Reward 200
Episode 369: Reward 150
Episode 370: Reward 95
Episode 371: Reward 188
Episode 372: Reward 200
Episode 373: Reward 130
Episode 374: Reward 100
Episode 375: Reward 170
Episode 376: Reward 95
Episode 377: Reward 172
Episode 378: Reward 200
Episode 379: Reward 161
Episode 380: Reward 152
Episode 381: Reward 126
Episode 382: Reward 200
Episode 383: Reward 169
Episode 384: Reward 200
Episode 385: Reward 77
Episode 386: Reward 30
Episode 387: Reward 200
Episode 388: Reward 172
Episode 389: Reward 165
Episode 390: Reward 200
Episode 391: Reward 200
Episode 392: Reward 96
Episode 393: Reward 200
Episode 394: Reward 200
Episode 395: Reward 200
Episode 396: Reward 200
Episode 397: Reward 181
Episode 398: Reward 200
Episode 399: Reward 200
Episode 400: Reward 135
Episode 401: Reward 200
Episode 402: Reward 196
Episode 403: Reward 200
Episode 404: Reward 200
Episode 405: Reward 117
Episode 406: Reward 193
Episode 407: Reward 141
Episode 408: Reward 200
Episode 409: Reward 200
Episode 410: Reward 46
Episode 411: Reward 138
Episode 412: Reward 126
Episode 413: Reward 145
Episode 414: Reward 170
Episode 415: Reward 136
Episode 416: Reward 166
Episode 417: Reward 200
Episode 418: Reward 92
Episode 419: Reward 200
Episode 420: Reward 200
Episode 421: Reward 118
Episode 422: Reward 84
Episode 423: Reward 162
Episode 424: Reward 200
Episode 425: Reward 200
Episode 426: Reward 180
Episode 427: Reward 200
Episode 428: Reward 200
Episode 429: Reward 200
Episode 430: Reward 122
Episode 431: Reward 162
Episode 432: Reward 200
Episode 433: Reward 200
Episode 434: Reward 117
Episode 435: Reward 200
Episode 436: Reward 200
Episode 437: Reward 200
Episode 438: Reward 200
Episode 439: Reward 200
Episode 440: Reward 200
Episode 441: Reward 147
Episode 442: Reward 200
Episode 443: Reward 200
Episode 444: Reward 97
Episode 445: Reward 73
Episode 446: Reward 94
Episode 447: Reward 200
Episode 448: Reward 174
Episode 449: Reward 200
Episode 450: Reward 155
Episode 451: Reward 160
Episode 452: Reward 200
Episode 453: Reward 200
Episode 454: Reward 169
Episode 455: Reward 126
Episode 456: Reward 148
Episode 457: Reward 151
Episode 458: Reward 179
Episode 459: Reward 111
Episode 460: Reward 200
Episode 461: Reward 200
Episode 462: Reward 200
Episode 463: Reward 144
Episode 464: Reward 200
Episode 465: Reward 146
Episode 466: Reward 200
Episode 467: Reward 200
Episode 468: Reward 200
Episode 469: Reward 170
Episode 470: Reward 200
Episode 471: Reward 200
Episode 472: Reward 111
Episode 473: Reward 200
Episode 474: Reward 115
Episode 475: Reward 182
Episode 476: Reward 157
Episode 477: Reward 148
Episode 478: Reward 200
Episode 479: Reward 141
Episode 480: Reward 132
Episode 481: Reward 167
Episode 482: Reward 137
Episode 483: Reward 112
Episode 484: Reward 200
Episode 485: Reward 136
Episode 486: Reward 200
Episode 487: Reward 192
Episode 488: Reward 156
Episode 489: Reward 186
Episode 490: Reward 172
Episode 491: Reward 136
Episode 492: Reward 39
Episode 493: Reward 127
Episode 494: Reward 148
Episode 495: Reward 200
Episode 496: Reward 92
Episode 497: Reward 195
Episode 498: Reward 32
Episode 499: Reward 128
Episode 500: Reward 200
Episode 501: Reward 197
Episode 502: Reward 200
Episode 503: Reward 200
Episode 504: Reward 188
Episode 505: Reward 200
Episode 506: Reward 200
Episode 507: Reward 200
Episode 508: Reward 200
Episode 509: Reward 149
Episode 510: Reward 200
Episode 511: Reward 200
Episode 512: Reward 93
Episode 513: Reward 200
Episode 514: Reward 164
Episode 515: Reward 200
Episode 516: Reward 200
Episode 517: Reward 81
Episode 518: Reward 200
Episode 519: Reward 200
Episode 520: Reward 200
Episode 521: Reward 200
Episode 522: Reward 124
Episode 523: Reward 200
Episode 524: Reward 179
Episode 525: Reward 200
Episode 526: Reward 200
Episode 527: Reward 200
Episode 528: Reward 200
Episode 529: Reward 200
Episode 530: Reward 183
Episode 531: Reward 200
Episode 532: Reward 200
Episode 533: Reward 200
Episode 534: Reward 200
Episode 535: Reward 200
Episode 536: Reward 200
Episode 537: Reward 181
Episode 538: Reward 200
Episode 539: Reward 119
Episode 540: Reward 182
Episode 541: Reward 200
Episode 542: Reward 200
Episode 543: Reward 200
Episode 544: Reward 200
Episode 545: Reward 200
Episode 546: Reward 156
Episode 547: Reward 200
Episode 548: Reward 200
Episode 549: Reward 200
Episode 550: Reward 200
Episode 551: Reward 137
Episode 552: Reward 200
Episode 553: Reward 200
Episode 554: Reward 123
Episode 555: Reward 200
Episode 556: Reward 195
Episode 557: Reward 157
Episode 558: Reward 145
Episode 559: Reward 200
Episode 560: Reward 187
Episode 561: Reward 170
Episode 562: Reward 143
Episode 563: Reward 195
Episode 564: Reward 200
Episode 565: Reward 119
Episode 566: Reward 200
Episode 567: Reward 200
Episode 568: Reward 129
Episode 569: Reward 200
Episode 570: Reward 138
Episode 571: Reward 129
Episode 572: Reward 144
Episode 573: Reward 154
Episode 574: Reward 125
Episode 575: Reward 188
Episode 576: Reward 187
Episode 577: Reward 156
Episode 578: Reward 164
Episode 579: Reward 199
Episode 580: Reward 58
Episode 581: Reward 134
Episode 582: Reward 148
Episode 583: Reward 200
Episode 584: Reward 200
Episode 585: Reward 92
Episode 586: Reward 200
Episode 587: Reward 118
Episode 588: Reward 170
Episode 589: Reward 123
Episode 590: Reward 112
Episode 591: Reward 67
Episode 592: Reward 159
Episode 593: Reward 200
Episode 594: Reward 200
Episode 595: Reward 200
Episode 596: Reward 132
Episode 597: Reward 149
Episode 598: Reward 200
Episode 599: Reward 200
Episode 600: Reward 200
Episode 601: Reward 51
Episode 602: Reward 200
Episode 603: Reward 200
Episode 604: Reward 200
Episode 605: Reward 200
Episode 606: Reward 200
Episode 607: Reward 200
Episode 608: Reward 198
Episode 609: Reward 136
Episode 610: Reward 200
Episode 611: Reward 200
Episode 612: Reward 132
Episode 613: Reward 200
Episode 614: Reward 200
Episode 615: Reward 176
Episode 616: Reward 120
Episode 617: Reward 200
Episode 618: Reward 200
Episode 619: Reward 200
Episode 620: Reward 200
Episode 621: Reward 117
Episode 622: Reward 200
Episode 623: Reward 200
Episode 624: Reward 200
Episode 625: Reward 200
Episode 626: Reward 130
Episode 627: Reward 99
Episode 628: Reward 179
Episode 629: Reward 200
Episode 630: Reward 200
Episode 631: Reward 200
Episode 632: Reward 181
Episode 633: Reward 200
Episode 634: Reward 200
Episode 635: Reward 161
Episode 636: Reward 200
Episode 637: Reward 131
Episode 638: Reward 158
Episode 639: Reward 200
Episode 640: Reward 130
Episode 641: Reward 192
Episode 642: Reward 200
Episode 643: Reward 148
Episode 644: Reward 200
Episode 645: Reward 97
Episode 646: Reward 149
Episode 647: Reward 35
Episode 648: Reward 141
Episode 649: Reward 200
Episode 650: Reward 185
Episode 651: Reward 162
Episode 652: Reward 138
Episode 653: Reward 120
Episode 654: Reward 200
Episode 655: Reward 88
Episode 656: Reward 200
Episode 657: Reward 128
Episode 658: Reward 200
Episode 659: Reward 57
Episode 660: Reward 200
Episode 661: Reward 111
Episode 662: Reward 200
Episode 663: Reward 200
Episode 664: Reward 200
Episode 665: Reward 177
Episode 666: Reward 110
Episode 667: Reward 160
Episode 668: Reward 200
Episode 669: Reward 195
Episode 670: Reward 200
Episode 671: Reward 145
Episode 672: Reward 157
Episode 673: Reward 156
Episode 674: Reward 136
Episode 675: Reward 188
Episode 676: Reward 200
Episode 677: Reward 134
Episode 678: Reward 168
Episode 679: Reward 141
Episode 680: Reward 43
Episode 681: Reward 41
Episode 682: Reward 120
Episode 683: Reward 200
Episode 684: Reward 150
Episode 685: Reward 123
Episode 686: Reward 109
Episode 687: Reward 121
Episode 688: Reward 152
Episode 689: Reward 150
Episode 690: Reward 128
Episode 691: Reward 37
Episode 692: Reward 140
Episode 693: Reward 150
Episode 694: Reward 97
Episode 695: Reward 81
Episode 696: Reward 200
Episode 697: Reward 197
Episode 698: Reward 141
Episode 699: Reward 51
Episode 700: Reward 145
Episode 701: Reward 200
Episode 702: Reward 200
Episode 703: Reward 194
Episode 704: Reward 200
Episode 705: Reward 199
Episode 706: Reward 161
Episode 707: Reward 118
Episode 708: Reward 124
Episode 709: Reward 200
Episode 710: Reward 200
Episode 711: Reward 140
Episode 712: Reward 130
Episode 713: Reward 180
Episode 714: Reward 143
Episode 715: Reward 139
Episode 716: Reward 200
Episode 717: Reward 186
Episode 718: Reward 170
Episode 719: Reward 200
Episode 720: Reward 47
Episode 721: Reward 200
Episode 722: Reward 132
Episode 723: Reward 112
Episode 724: Reward 147
Episode 725: Reward 160
Episode 726: Reward 200
Episode 727: Reward 200
Episode 728: Reward 200
Episode 729: Reward 119
Episode 730: Reward 200
Episode 731: Reward 132
Episode 732: Reward 200
Episode 733: Reward 200
Episode 734: Reward 200
Episode 735: Reward 127
Episode 736: Reward 77
Episode 737: Reward 146
Episode 738: Reward 200
Episode 739: Reward 130
Episode 740: Reward 200
Episode 741: Reward 200
Episode 742: Reward 200
Episode 743: Reward 200
Episode 744: Reward 153
Episode 745: Reward 200
Episode 746: Reward 200
Episode 747: Reward 200
Episode 748: Reward 171
Episode 749: Reward 180
Episode 750: Reward 200
Episode 751: Reward 200
Episode 752: Reward 200
Episode 753: Reward 200
Episode 754: Reward 200
Episode 755: Reward 200
Episode 756: Reward 200
Episode 757: Reward 140
Episode 758: Reward 200
Episode 759: Reward 200
Episode 760: Reward 200
Episode 761: Reward 200
Episode 762: Reward 200
Episode 763: Reward 200
Episode 764: Reward 200
Episode 765: Reward 200
Episode 766: Reward 200
Episode 767: Reward 200
Episode 768: Reward 200
Episode 769: Reward 119
Episode 770: Reward 200
Episode 771: Reward 157
Episode 772: Reward 184
Episode 773: Reward 200
Episode 774: Reward 200
Episode 775: Reward 200
Episode 776: Reward 200
Episode 777: Reward 174
Episode 778: Reward 200
Episode 779: Reward 200
Episode 780: Reward 182
Episode 781: Reward 200
Episode 782: Reward 193
Episode 783: Reward 200
Episode 784: Reward 200
Episode 785: Reward 190
Episode 786: Reward 181
Episode 787: Reward 132
Episode 788: Reward 163
Episode 789: Reward 187
Episode 790: Reward 200
Episode 791: Reward 200
Episode 792: Reward 200
Episode 793: Reward 200
Episode 794: Reward 173
Episode 795: Reward 200
Episode 796: Reward 76
Episode 797: Reward 117
Episode 798: Reward 200
Episode 799: Reward 200
Episode 800: Reward 200
Episode 801: Reward 139
Episode 802: Reward 200
Episode 803: Reward 200
Episode 804: Reward 174
Episode 805: Reward 200
Episode 806: Reward 200
Episode 807: Reward 200
Episode 808: Reward 200
Episode 809: Reward 200
Episode 810: Reward 200
Episode 811: Reward 200
Episode 812: Reward 200
Episode 813: Reward 187
Episode 814: Reward 200
Episode 815: Reward 200
Episode 816: Reward 200
Episode 817: Reward 200
Episode 818: Reward 200
Episode 819: Reward 198
Episode 820: Reward 200
Episode 821: Reward 200
Episode 822: Reward 200
Episode 823: Reward 200
Episode 824: Reward 200
Episode 825: Reward 200
Episode 826: Reward 200
Episode 827: Reward 127
Episode 828: Reward 200
Episode 829: Reward 200
Episode 830: Reward 200
Episode 831: Reward 200
Episode 832: Reward 200
Episode 833: Reward 163
Episode 834: Reward 200
Episode 835: Reward 125
Episode 836: Reward 200
Episode 837: Reward 200
Episode 838: Reward 200
Episode 839: Reward 200
